Wavelength_nm,n_eff,k_eff
600.0,4.109235,1.003261
605.1,4.112542,0.983477
610.1,4.115844,0.963700
615.2,4.119143,0.943931
620.2,4.122437,0.924169
625.3,4.125728,0.904415
630.3,4.129014,0.884667
635.4,4.132296,0.864927
640.4,4.135574,0.845193
645.5,4.138847,0.825466
650.5,4.141292,0.805784
655.6,4.136313,0.786463
660.6,4.131321,0.767158
665.7,4.126313,0.747867
670.7,4.121292,0.728591
675.8,4.116256,0.709328
680.8,4.111206,0.690080
685.9,4.106141,0.670845
690.9,4.101062,0.651623
696.0,4.095969,0.632414
701.0,4.091708,0.614428
706.1,4.090831,0.601293
711.1,4.089955,0.588160
716.2,4.089081,0.575028
721.2,4.088209,0.561897
726.3,4.087339,0.548768
731.3,4.086470,0.535641
736.4,4.085603,0.522515
741.4,4.084737,0.509390
746.5,4.083873,0.496268
751.5,4.081875,0.483166
756.6,4.077231,0.470114
761.6,4.072591,0.457067
766.7,4.067954,0.444024
771.7,4.063319,0.430986
776.8,4.058689,0.417952
781.8,4.054061,0.404923
786.9,4.049436,0.391898
791.9,4.044814,0.378878
797.0,4.040195,0.365863
802.0,4.034283,0.355309
807.1,4.026434,0.348443
812.1,4.018588,0.341582
817.2,4.010746,0.334727
822.2,4.002908,0.327877
827.3,3.995074,0.321032
832.3,3.987244,0.314193
837.4,3.979417,0.307359
842.4,3.971594,0.300530
847.5,3.963775,0.293707
852.5,3.955800,0.286472
857.6,3.947665,0.278826
862.6,3.939530,0.271186
867.7,3.931394,0.263553
872.7,3.923258,0.255927
877.8,3.915121,0.248307
882.8,3.906984,0.240694
887.9,3.898846,0.233087
892.9,3.890708,0.225487
898.0,3.882568,0.217893
903.0,3.876739,0.210480
908.1,3.872449,0.203184
913.1,3.868161,0.195889
918.2,3.863872,0.188595
923.2,3.859585,0.181301
928.3,3.855298,0.174008
933.3,3.851011,0.166715
938.4,3.846725,0.159423
943.4,3.842440,0.152131
948.5,3.838155,0.144840
953.5,3.830944,0.137409
958.6,3.822479,0.129919
963.6,3.814013,0.122432
968.7,3.805547,0.114946
973.7,3.797080,0.107463
978.8,3.788612,0.099982
983.8,3.780144,0.092503
988.9,3.771674,0.085027
993.9,3.763204,0.077552
999.0,3.754734,0.070080
1004.0,3.750491,0.066921
1009.1,3.747307,0.064841
1014.1,3.744124,0.062761
1019.2,3.740942,0.060681
1024.2,3.737761,0.058600
1029.3,3.734582,0.056520
1034.3,3.731404,0.054441
1039.4,3.728227,0.052361
1044.4,3.725051,0.050281
1049.5,3.721877,0.048201
1054.5,3.718020,0.047180
1059.6,3.714085,0.046276
1064.6,3.710151,0.045372
1069.7,3.706216,0.044468
1074.7,3.702280,0.043564
1079.8,3.698343,0.042660
1084.8,3.694407,0.041756
1089.9,3.690469,0.040851
1094.9,3.686531,0.039947
1100.0,3.682593,0.039043
